TenantId,TimeGenerated,DisplayName,AlertName,AlertSeverity,Description,ProviderName,VendorName,VendorOriginalId,SystemAlertId,ResourceId,SourceComputerId,AlertType,ConfidenceLevel,ConfidenceScore,IsIncident,StartTime,EndTime,ProcessingEndTime,RemediationSteps,ExtendedProperties,Entities,SourceSystem,WorkspaceSubscriptionId,WorkspaceResourceGroup,ExtendedLinks,ProductName,ProductComponentName,AlertLink,Status,CompromisedEntity,Tactics,Techniques,SubTechniques,Type
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T09:14:22Z,Suspicious PowerShell execution chain,Suspicious PowerShell execution chain,High,Encoded PowerShell spawned from a Node package manager child process on a developer workstation.,MDATP,Microsoft,defender-88001,sa-7f2a-9c1b-4e8d-a6f3-001,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,High,82,1,2026-05-28T09:12:08Z,2026-05-28T09:15:40Z,2026-05-28T09:15:40Z,Isolate device; collect process and script artifacts; review recent package installs.,"{""IncidentId"":""inc-20260528-0042"",""DetectionId"":""T1059.001"",""ScriptBlockLogging"":""partial""}","[{""Type"":""account"",""Name"":""jordan.velez@creditsafe.com""},{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-7f2a-9c1b-4e8d-a6f3-001,New,CS-DEV-01982,Execution,T1059.001,T1059.001.001,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T09:18:05Z,Outbound connection to low-reputation host,Outbound connection to low-reputation host,Medium,Process initiated HTTPS connection to a recently registered domain used by third-party package mirrors.,MDATP,Microsoft,defender-88002,sa-7f2a-9c1b-4e8d-a6f3-002,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Medium,68,0,2026-05-28T09:16:44Z,2026-05-28T09:19:12Z,2026-05-28T09:19:12Z,Validate package source; block domain if unapproved; inspect staging directory.,"{""RemoteUrl"":""https://update-cdn-lab.example/sync/v1/channel"",""RemoteIP"":""203.0.113.47"",""ConnectionResult"":""Success""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""},{""Type"":""ip"",""Address"":""203.0.113.47""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-7f2a-9c1b-4e8d-a6f3-002,InProgress,CS-DEV-01982,Command and Control,T1071.001,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T09:13:01Z,Suspicious child process from script interpreter,Suspicious child process from script interpreter,Medium,cmd.exe launched powershell.exe with execution policy bypass following npm lifecycle script.,MDATP,Microsoft,defender-88003,sa-7f2a-9c1b-4e8d-a6f3-003,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Medium,74,0,2026-05-28T09:12:45Z,2026-05-28T09:14:00Z,2026-05-28T09:14:00Z,Review npm package integrity; compare package hash to known-good registry.,"{""ParentProcess"":""node.exe"",""ChildProcess"":""powershell.exe""}","[{""Type"":""file"",""Name"":""postinstall.js""},{""Type"":""account"",""Name"":""jordan.velez@creditsafe.com""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-7f2a-9c1b-4e8d-a6f3-003,New,CS-DEV-01982,Execution,T1059.003,T1059.001,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T10:02:33Z,Unusual volume of SharePoint file downloads,Unusual volume of SharePoint file downloads,Medium,User downloaded multiple files from a project site within a short interval including labeled content.,MDATP,Microsoft,defender-88004,sa-7f2a-9c1b-4e8d-a6f3-004,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,MCAS,Medium,55,0,2026-05-28T09:55:00Z,2026-05-28T10:05:00Z,2026-05-28T10:05:00Z,Verify business justification; confirm sensitivity label handling; assess DLP outcomes.,"{""SiteUrl"":""https://corpexample.sharepoint.com/sites/DataPlatform"",""DownloadCount"":4}","[{""Type"":""account"",""Name"":""jordan.velez@creditsafe.com""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-7f2a-9c1b-4e8d-a6f3-004,New,jordan.velez@creditsafe.com,Collection,T1530,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T09:11:48Z,Anomalous postinstall script during package install,Anomalous postinstall script during package install,High,Package manager executed lifecycle script invoking shell interpreter not typical for this project profile.,MDATP,Microsoft,defender-88005,sa-7f2a-9c1b-4e8d-a6f3-005,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,High,79,0,2026-05-28T09:10:30Z,2026-05-28T09:12:30Z,2026-05-28T09:12:30Z,Quarantine package cache; rebuild node_modules from lockfile; scan staging folder.,"{""PackageName"":""@labdev/telemetry-helper"",""PackageVersion"":""2.1.4"",""Registry"":""pkg-cache-lab.invalid""}","[{""Type"":""file"",""Sha256"":""a7f3c91e2b8d4f6a0c1e5d9b3a7f2c8e1d4b6a9f0c3e7d2b5a8f1c4e9d6b3a7f2""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-7f2a-9c1b-4e8d-a6f3-005,New,CS-DEV-01982,Initial Access,T1195.002,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T08:42:10Z,Email reported with embedded link to external SaaS trial,Email reported with embedded link to external SaaS trial,Low,User reported message promoting third-party AI development assistant trial with external registration URL.,MDATP,Microsoft,defender-88006,sa-7f2a-9c1b-4e8d-a6f3-006,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,OfficeATP,Low,42,0,2026-05-28T08:35:00Z,2026-05-28T08:45:00Z,2026-05-28T08:45:00Z,Review message headers and URL reputation; user awareness if benign marketing.,"{""NetworkMessageId"":""nm-ext-ai-trial-7c4a9b2e-001"",""UrlCount"":3}","[{""Type"":""mailbox"",""Name"":""jordan.velez@creditsafe.com""},{""Type"":""mailMessage"",""NetworkMessageId"":""nm-ext-ai-trial-7c4a9b2e-001""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-7f2a-9c1b-4e8d-a6f3-006,Resolved,jordan.velez@creditsafe.com,Initial Access,T1566,T1566.002,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T10:04:18Z,Multiple downloads of customer analytics content,Multiple downloads of customer analytics content,Medium,Several files with Customer Data sensitivity label accessed from developer endpoint session.,MDATP,Microsoft,defender-88007,sa-7f2a-9c1b-4e8d-a6f3-007,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,MCAS,Medium,61,0,2026-05-28T09:58:00Z,2026-05-28T10:08:00Z,2026-05-28T10:08:00Z,Coordinate with data owner; evaluate breach reporting threshold per data handling policy.,"{""Labels"":[""Customer Data"",""Internal""],""PolicyNote"":""Approved project membership not verified in alert""}","[{""Type"":""account"",""Name"":""jordan.velez@creditsafe.com""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-7f2a-9c1b-4e8d-a6f3-007,InProgress,jordan.velez@creditsafe.com,Exfiltration,T1048,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T07:58:44Z,Sign-in from unfamiliar geographic region,Sign-in from unfamiliar geographic region,Low,Interactive sign-in observed from IP geolocated outside user's typical pattern.,MDATP,Microsoft,defender-88008,sa-7f2a-9c1b-4e8d-a6f3-008,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,AADIdentityProtection,Low,48,0,2026-05-28T07:55:00Z,2026-05-28T08:00:00Z,2026-05-28T08:00:00Z,Validate sign-in with user; review MFA and CA outcomes.,"{""SessionId"":""sess-jv-0701-aa11"",""Explainable"":""Corporate VPN egress documented in Status field""}","[{""Type"":""account"",""Name"":""jordan.velez@creditsafe.com""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-7f2a-9c1b-4e8d-a6f3-008,Resolved,jordan.velez@creditsafe.com,Initial Access,T1078,T1078.004,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T09:30:00Z,Impossible travel activity,Impossible travel activity,Medium,Sign-in from geographically distant locations within a short time.,MDATP,Microsoft,defender-rh-002,sa-rh-cato-travel,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,AADIdentityProtection,Medium,60,0,2026-05-28T09:25:00Z,2026-05-28T09:25:00Z,2026-05-28T09:25:00Z,Confirm user location.,"{""PreviousLocation"":""Cardiff, GB"",""CurrentLocation"":""Dublin, IE""}","[{""Type"":""account"",""Name"":""cato.syversen@creditsafe.com""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-rh-cato-travel,Resolved,cato.syversen@creditsafe.com,Initial Access,T1078,,SecurityAlert
tenant-lab-001-a000-0000-0000-000000000001,2026-05-28T08:05:12Z,Software update activity for supported IDE,Software update activity for supported IDE,Informational,Signed update binary contacted vendor CDN for version manifest.,MDATP,Microsoft,defender-88009,sa-benign-vscode-009,,dev-01982-a1b2-c3d4-e5f6-7890abcd0198,WindowsDefenderAv,Informational,12,0,2026-05-28T08:03:00Z,2026-05-28T08:06:00Z,2026-05-28T08:06:00Z,No action required.,"{""Product"":""Code"",""Channel"":""stable""}","[{""Type"":""host"",""Name"":""CS-DEV-01982""}]",Detection,,,,Microsoft Defender XDR,Endpoint,https://security.microsoft.com/alerts/sa-benign-vscode-009,Resolved,CS-DEV-01982,,,,SecurityAlert
